Name,Turn,Political Stance,Session,Question Order,World,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A19L8SNH73AX1Z,1,Republicans,5b8b4044824d7,"23,24,14,6,2,18,21,13,12,8,3,5,20,15,7,4,22,1,9,16,19,10,11,17",2,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
AEO8NL8D28NQG,2,strong Democrats,5b8b4d86a9b32,"23,24,2,4,18,7,21,10,8,9,3,14,17,6,12,11,22,19,20,15,1,5,16,13",2,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
A3302168IZJTMX,3,Democrats,5b8b568322aea,"23,24,3,7,20,9,21,17,6,16,12,10,1,8,19,4,22,5,2,15,14,13,11,18",2,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0
A2A14Q1JLWW6R1,4,strong Democrats,5b8b7fcb9fc24,"23,24,20,17,10,12,21,5,9,14,6,15,13,8,16,3,22,7,19,1,18,11,4,2",2,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
A10G0V9R0U5OR,5,Democrats,5b8b863661d5f,"23,24,2,18,12,20,21,7,3,19,8,15,6,13,14,5,22,9,17,11,10,4,1,16",2,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
A1DNJ17PE2RYJZ,6,strong Democrats,5b8e7e835809d,"23,24,7,5,11,18,21,9,1,6,20,10,14,2,16,15,22,3,13,8,19,17,12,4",2,0.0,1.0,1.0,,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
A2EZNZ6X58RTNR,7,strong Republicans,5b8ea5bc5b8b2,"23,24,4,7,19,12,21,5,13,14,18,17,9,1,11,3,22,2,8,16,20,6,15,10",2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A2EKR2ZFO10VMV,8,strong Democrats,5b8eb41f294fa,"23,24,12,8,3,17,21,6,16,7,10,11,18,2,9,1,22,20,19,4,15,13,5,14",2,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
A1CA46R2A6TV9W,9,Democrats,5b8eb7d8c8f49,"23,24,12,3,17,15,21,2,20,18,13,16,10,19,8,4,22,1,6,7,14,5,9,11",2,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
A326WOXXK2ZPM3,10,strong Republicans,5b8ec412375c5,"23,24,15,13,8,10,21,16,1,20,6,3,7,19,11,14,22,2,17,9,12,5,18,4",2,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
A2Y9ZNZ0F24GHB,11,Republicans,5b8ec7101366a,"23,24,15,11,14,16,21,1,6,4,10,13,18,20,3,5,22,8,12,19,9,7,17,2",2,0.0,,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
A196XR61DIW5GU,12,strong Republicans,5b8ecd42ddcfb,"23,24,19,14,11,18,21,5,13,20,12,17,8,9,6,10,22,3,2,7,1,16,15,4",2,,,0.0,,0.0,1.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
A1JG0SJHUXT1FW,13,strong Republicans,5b8ed1b8aa79f,"23,24,5,8,7,17,21,16,2,13,18,11,19,3,12,20,22,10,14,4,1,6,9,15",2,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
A3KA08ZKNCAAXO,14,Republicans,5b8ed5c0cdeb2,"23,24,16,2,12,7,21,15,5,1,17,20,6,13,11,10,22,14,9,19,8,18,4,3",2,0.0,0.0,,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
test_alex,15,Democrats,5b8ed79654243,"23,24,10,13,19,6,21,5,3,11,1,16,20,17,14,7,22,15,2,9,18,8,12,4",2,0.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
test,16,strong Democrats,5b8ed9986ac07,"23,24,6,1,4,12,21,13,15,11,18,7,20,2,5,8,22,19,17,16,3,9,10,14",2,0.0,,,1.0,,1.0,,,,,,1.0,1.0,,1.0,,,,,,1.0,,1.0,1.0
