mturk,political_stand,session,question_id_sequence,current_question,world,sequential_number,aid
5c34e423-8d6e-4a62-b4be-f8755748a2eb,strong Democrats,5c34e45b496f8,"23,18,17,6,15,12,14,20,8,9,7,3,5,4,11,10,1,2,16,19,13,25",13,7,0,5c34e423-8d6e-4a62-b4be-f8755748a2eb
5c34ea5d-82ff-4f65-bee8-2ca4eb2848db,Republicans,5c34ea9142404,"23,17,2,9,20,12,10,14,16,18,4,19,15,11,5,3,1,8,7,13,6,25",25,1,0,5c34ea5d-82ff-4f65-bee8-2ca4eb2848db
5c34f29d-90b0-4c04-b78c-959b16f1c0d6,strong Democrats,5c34f394e1529,"23,14,2,20,9,11,15,3,1,17,8,5,18,19,6,4,12,10,7,13,16,25",16,9,0,5c34f29d-90b0-4c04-b78c-959b16f1c0d6
5c34f45d-408d-4388-a655-f44a14991304,strong Democrats,5c34f483e59f0,"24,12,16,20,6,1,4,17,8,2,18,5,14,11,9,15,10,19,7,13,3,25",25,3,0,5c34f45d-408d-4388-a655-f44a14991304
5c34f905-a310-47cd-bf2b-324cf95e4adb,strong Democrats,5c34f9467bdc5,"24,15,14,5,16,3,4,12,1,17,8,18,19,9,2,11,7,6,10,20,13,25",13,8,0,5c34f905-a310-47cd-bf2b-324cf95e4adb
5c34fb92-4252-4a48-9ff8-239a2501d197,strong Democrats,5c34fbc41c05d,"23,3,19,11,6,2,20,10,8,14,13,7,9,17,15,1,16,5,18,12,4,25",25,6,0,5c34fb92-4252-4a48-9ff8-239a2501d197
5c34fb73-f72f-4f98-8983-ea626d94f60c,Republicans,5c34fbdd89783,"24,20,6,8,3,17,18,14,11,5,13,4,12,19,2,15,1,16,9,10,7,25",7,10,0,5c34fb73-f72f-4f98-8983-ea626d94f60c
5c34fcf6-c1a9-4779-bee4-1fc65a5d00ca,,5c34fd8b1ddb5,"24,12,1,3,15,5,16,11,13,4,8,14,17,10,18,7,6,19,2,20,9,25",24,4,0,5c34fcf6-c1a9-4779-bee4-1fc65a5d00ca
5c350118-7933-4283-ae80-db2bcb489474,,5c3502800f6be,"24,3,5,9,16,11,1,12,8,15,19,17,20,18,10,2,13,7,4,14,6,25",24,2,0,5c350118-7933-4283-ae80-db2bcb489474
5c350219-f3b7-42bb-87c7-3c618449f9a8,Democrats,5c35028aee694,"24,8,16,19,4,3,14,18,13,5,17,9,6,12,2,20,7,10,11,15,1,25",1,8,0,5c350219-f3b7-42bb-87c7-3c618449f9a8
5c3503ac-72fd-4986-a1a3-6b2c647a902f,Democrats,5c3503ecc0f4f,"23,4,18,13,1,12,7,5,19,14,20,10,15,17,6,11,2,9,8,3,16,25",16,3,0,5c3503ac-72fd-4986-a1a3-6b2c647a902f
5c3506bb-04c6-41e6-807f-84397175d740,Democrats,5c35075953525,"24,6,18,5,14,19,10,15,4,11,13,8,2,3,1,12,9,7,20,16,17,25",17,6,0,5c3506bb-04c6-41e6-807f-84397175d740
5c35080a-69c0-4394-9636-f48bca057b40,Republicans,5c35083b87454,"23,6,3,7,13,15,5,10,9,8,1,11,18,4,16,14,20,12,17,2,19,25",25,4,0,5c35080a-69c0-4394-9636-f48bca057b40
5c35086b-924e-44fe-a0ed-6408e72bee00,Republicans,5c3508a8ee1cf,"23,11,8,6,2,13,16,4,20,3,7,10,12,18,9,19,5,14,17,1,15,25",25,2,0,5c35086b-924e-44fe-a0ed-6408e72bee00
5c350860-d663-4882-b9cc-ad372f4e9343,Republicans,5c3508d073829,"24,7,17,15,18,3,20,13,10,14,2,1,5,11,6,9,19,16,8,4,12,25",12,1,0,5c350860-d663-4882-b9cc-ad372f4e9343
5c3508d4-aaf4-4f11-8f0d-d8dea06af4e6,Republicans,5c35091ba6e64,"23,2,7,8,18,11,15,3,9,14,4,10,6,13,19,17,12,20,1,16,5,25",25,7,0,5c3508d4-aaf4-4f11-8f0d-d8dea06af4e6
5c350d8d-2fb4-4bcc-b905-11da6b994a6a,Democrats,5c350e0dc99d1,"24,8,13,4,3,10,11,6,19,18,12,1,17,2,9,7,20,15,14,5,16,25",16,10,0,5c350d8d-2fb4-4bcc-b905-11da6b994a6a
5c3513ca-e392-4c98-ad9a-db665a3c28a4,Republicans,5c351448ba5f8,"23,11,9,20,14,19,1,17,18,4,15,8,12,10,7,2,16,6,13,3,5,25",25,5,0,5c3513ca-e392-4c98-ad9a-db665a3c28a4
5c35182a-38b7-45e2-958d-0a83714806fb,,5c35186d57f37,"23,18,14,20,3,17,6,5,11,8,10,2,12,16,1,4,15,13,7,9,19,25",23,9,0,5c35182a-38b7-45e2-958d-0a83714806fb
5c351bc2-1943-4c8b-87b2-3d086bc893b8,,5c351c498e7af,"24,9,7,6,3,20,16,2,5,10,18,8,17,15,14,4,13,1,11,19,12,25",24,9,0,5c351bc2-1943-4c8b-87b2-3d086bc893b8
5c3525d8-f6d3-4410-a677-255d71dfa87d,Democrats,5c3526813ce8d,"24,12,6,11,14,3,1,4,5,2,15,13,10,20,19,18,9,8,7,16,17,25",17,1,0,5c3525d8-f6d3-4410-a677-255d71dfa87d
5c352877-3610-47e5-ade5-a2e989769055,Republicans,5c3528a7ad748,"24,18,15,19,11,16,3,13,8,9,4,20,2,6,1,17,10,7,5,12,14,25",14,3,0,5c352877-3610-47e5-ade5-a2e989769055
5c352a5d-ef85-44b8-900f-dd013311d48a,strong Democrats,5c352b365a651,"23,8,14,6,20,18,12,10,3,13,2,4,5,16,7,17,1,9,15,19,11,25",11,8,0,5c352a5d-ef85-44b8-900f-dd013311d48a
5c352b73-985d-45e7-9093-1068e07e4697,strong Democrats,5c352b8d7e036,"23,9,8,6,7,4,15,2,18,5,10,20,1,11,14,12,19,17,16,13,3,25",25,10,0,5c352b73-985d-45e7-9093-1068e07e4697
5c352b23-af75-43c9-960f-3ce88c78d045,strong Democrats,5c352b9127034,"23,19,16,9,6,17,20,14,13,11,1,18,12,8,3,5,7,4,15,10,2,25",2,6,0,5c352b23-af75-43c9-960f-3ce88c78d045
5c352b63-33f5-478c-bfeb-bbbc1b4705e4,,5c352ba777ef1,"24,6,20,8,11,9,18,4,13,2,1,14,16,5,15,10,12,17,3,7,19,25",24,2,0,5c352b63-33f5-478c-bfeb-bbbc1b4705e4
5c352b6c-931d-4290-9c6f-9484acffa0b7,Republicans,5c352bc95b1fc,"24,7,5,2,6,11,15,14,4,13,17,18,19,1,20,16,8,10,9,3,12,25",12,4,0,5c352b6c-931d-4290-9c6f-9484acffa0b7
5c352c03-50ad-431c-b01f-9bae7289b961,strong Democrats,5c352c8441b68,"24,19,5,3,10,1,9,2,17,8,6,16,11,18,20,14,12,15,7,4,13,25",13,7,0,5c352c03-50ad-431c-b01f-9bae7289b961
5c352c90-ed51-4401-ba00-769902c1c60f,strong Democrats,5c352cabbadf1,"23,17,16,8,5,9,20,6,19,1,2,13,10,14,4,3,18,7,15,12,11,25",11,5,0,5c352c90-ed51-4401-ba00-769902c1c60f
